,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,g_ID,Gene.name
59,1493.3095,-3.545578,0.3539175,-10.018091,1.27E-23,1.03E-19,ENSG00000137673,MMP7
55,254.88419,-3.378385,0.5153254,-6.555829,5.53E-11,6.00E-08,ENSG00000134827,TCN1
86,235.81112,-2.979656,0.6136066,-4.855972,1.20E-06,4.51E-04,ENSG00000185885,IFITM1
93,751.12205,-2.767308,0.468115,-5.911598,3.39E-09,2.49E-06,ENSG00000196565,HBG2
58,232.20604,-2.697566,0.5163494,-5.224303,1.75E-07,7.65E-05,ENSG00000137273,FOXF2
52,1021.11635,-2.666755,0.3646676,-7.312838,2.62E-13,4.24E-10,ENSG00000130720,FIBCD1
16,2825.22627,-2.547455,0.3262261,-7.808863,5.77E-15,1.04E-11,ENSG00000091513,TF
23,133.44217,-2.492662,0.6585363,-3.785155,1.54E-04,2.73E-02,ENSG00000102109,PCSK1N
100,3390.20334,-2.481013,0.387319,-6.405607,1.50E-10,1.43E-07,ENSG00000244734,HBB
21,818.71661,-2.456553,0.3879235,-6.33257,2.41E-10,2.17E-07,ENSG00000101443,WFDC2
74,171.75387,-2.32595,0.5670158,-4.102091,4.09E-05,9.34E-03,ENSG00000166682,TMPRSS5
20,211.70327,-2.196362,0.5930973,-3.703206,2.13E-04,3.55E-02,ENSG00000101439,CST3
73,355.52338,-2.075425,0.467443,-4.439953,9.00E-06,2.85E-03,ENSG00000166503,HDGFL3
10,504.7724,-2.075102,0.417333,-4.972294,6.62E-07,2.61E-04,ENSG00000077274,CAPN6
7,770.96753,-2.074241,0.3718642,-5.577954,2.43E-08,1.31E-05,ENSG00000050555,LAMC3
65,7347.06139,-2.065327,0.3664683,-5.635759,1.74E-08,1.05E-05,ENSG00000162896,PIGR
24,266.41396,-2.043714,0.489175,-4.17788,2.94E-05,7.24E-03,ENSG00000102290,PCDH11X
80,381.64527,-1.856602,0.489922,-3.789587,1.51E-04,2.72E-02,ENSG00000177335,C8orf31
18,2363.87657,-1.850745,0.3266145,-5.666451,1.46E-08,9.44E-06,ENSG00000094963,FMO2
30,401.71372,-1.792373,0.4294279,-4.173862,2.99E-05,7.24E-03,ENSG00000111319,SCNN1A
41,3064.46025,-1.769005,0.342347,-5.167288,2.38E-07,9.86E-05,ENSG00000121005,CRISPLD1
63,368.55724,-1.744759,0.4654292,-3.748709,1.78E-04,3.10E-02,ENSG00000154856,APCDD1
13,10927.29223,-1.714725,0.3120263,-5.495449,3.90E-08,2.04E-05,ENSG00000086548,CEACAM6
68,3877.24349,-1.69958,0.318937,-5.32889,9.88E-08,4.85E-05,ENSG00000163762,TM4SF18
36,727.79882,-1.697471,0.4006205,-4.237103,2.26E-05,5.93E-03,ENSG00000117069,ST6GALNAC5
95,419.37899,-1.656521,0.4208104,-3.936502,8.27E-05,1.65E-02,ENSG00000197696,NMB
57,664.41411,-1.623613,0.3824857,-4.244898,2.19E-05,5.90E-03,ENSG00000135744,AGT
49,473.28306,-1.549606,0.4295888,-3.607184,3.10E-04,4.77E-02,ENSG00000129521,EGLN3
82,766.7355,-1.540201,0.3696925,-4.166167,3.10E-05,7.38E-03,ENSG00000179344,HLA-DQB1
81,472.82405,-1.527235,0.4103417,-3.721862,1.98E-04,3.37E-02,ENSG00000178776,C5orf46
90,8346.87902,-1.515735,0.3416796,-4.436129,9.16E-06,2.85E-03,ENSG00000196136,SERPINA3
37,2630.82978,-1.486705,0.3527771,-4.21429,2.51E-05,6.44E-03,ENSG00000117122,MFAP2
98,1728.27134,-1.473383,0.34336,-4.291074,1.78E-05,4.97E-03,ENSG00000204287,HLA-DRA
92,757.98503,-1.469434,0.4023902,-3.651763,2.60E-04,4.21E-02,ENSG00000196542,SPTSSB
85,701.55707,-1.457245,0.375629,-3.879479,1.05E-04,2.02E-02,ENSG00000185015,CA13
39,6996.92211,-1.378621,0.3098983,-4.448624,8.64E-06,2.80E-03,ENSG00000118849,RARRES1
72,2279.96241,-1.345633,0.3250075,-4.140314,3.47E-05,8.14E-03,ENSG00000166448,TMEM130
88,2260.51229,-1.278364,0.3319142,-3.851488,1.17E-04,2.21E-02,ENSG00000189292,ALKAL2
62,13264.40215,-1.243739,0.30792,-4.039161,5.36E-05,1.14E-02,ENSG00000146674,IGFBP3
43,2079.66133,-1.196405,0.3278127,-3.649662,2.63E-04,4.21E-02,ENSG00000124212,PTGIS
17,6219.95885,-1.176977,0.3101575,-3.794771,1.48E-04,2.69E-02,ENSG00000092758,COL9A3
32,19349.80059,1.099966,0.3036208,3.622829,2.91E-04,4.54E-02,ENSG00000113140,SPARC
83,6349.70956,1.144025,0.3108747,3.680018,2.33E-04,3.82E-02,ENSG00000182492,BGN
99,2048.03513,1.188079,0.3273775,3.62908,2.84E-04,4.47E-02,ENSG00000204390,HSPA1L
25,10641.40776,1.210321,0.3030769,3.993446,6.51E-05,1.34E-02,ENSG00000104490,NCALD
97,6412.01533,1.224106,0.3112647,3.932686,8.40E-05,1.66E-02,ENSG00000204262,COL5A2
71,3850.37571,1.241015,0.3129974,3.964937,7.34E-05,1.49E-02,ENSG00000166147,FBN1
3,1166.99012,1.24174,0.3446818,3.602569,3.15E-04,4.81E-02,ENSG00000011028,MRC2
66,1928.28456,1.2495,0.3367095,3.710914,2.07E-04,3.48E-02,ENSG00000163083,INHBB
54,2690.50146,1.250058,0.3258429,3.836382,1.25E-04,2.32E-02,ENSG00000133110,POSTN
31,4294.91109,1.263727,0.3131499,4.035533,5.45E-05,1.15E-02,ENSG00000111799,COL12A1
77,11011.19213,1.353173,0.3314657,4.082392,4.46E-05,9.89E-03,ENSG00000168542,COL3A1
70,789.95077,1.401631,0.3661547,3.827975,1.29E-04,2.38E-02,ENSG00000165633,VSTM4
69,21500.70215,1.416331,0.3004227,4.714459,2.42E-06,8.58E-04,ENSG00000164692,COL1A2
48,3789.92754,1.471658,0.4048618,3.634963,2.78E-04,4.41E-02,ENSG00000128422,KRT17
76,1037.50999,1.499576,0.3986569,3.761571,1.69E-04,2.97E-02,ENSG00000168447,SCNN1B
29,41793.03409,1.516069,0.3226348,4.699026,2.61E-06,9.01E-04,ENSG00000108821,COL1A1
67,759.23824,1.54121,0.3780263,4.076991,4.56E-05,9.99E-03,ENSG00000163359,COL6A3
15,2069.13287,1.557135,0.354929,4.387175,1.15E-05,3.44E-03,ENSG00000091136,LAMB1
78,1389.38436,1.64164,0.4052106,4.051326,5.09E-05,1.10E-02,ENSG00000168743,NPNT
51,1970.51086,1.767783,0.3439178,5.140133,2.75E-07,1.11E-04,ENSG00000130635,COL5A1
101,737.37243,1.796696,0.4384965,4.097402,4.18E-05,9.40E-03,ENSG00000254996,ANKHD1-EIF4EBP3
46,2189.34315,1.862002,0.3950446,4.713397,2.44E-06,8.58E-04,ENSG00000124664,SPDEF
6,1735.68927,1.931568,0.3338039,5.786536,7.19E-09,4.85E-06,ENSG00000041982,TNC
28,672.10931,1.962834,0.3768204,5.208936,1.90E-07,8.09E-05,ENSG00000106819,ASPN
35,377.03748,2.009435,0.485945,4.135108,3.55E-05,8.21E-03,ENSG00000115361,ACADL
5,766.05685,2.036357,0.373121,5.457632,4.83E-08,2.44E-05,ENSG00000022267,FHL1
38,329.61324,2.190377,0.4471947,4.898039,9.68E-07,3.73E-04,ENSG00000117148,ACTL8
8,173.16385,2.311001,0.5882464,3.928627,8.54E-05,1.67E-02,ENSG00000055955,ITIH4
40,255.68523,2.313283,0.5055409,4.575858,4.74E-06,1.60E-03,ENSG00000120833,SOCS2
42,588.44774,2.384906,0.3881424,6.144409,8.03E-10,6.84E-07,ENSG00000122176,FMOD
56,555.06209,2.396937,0.4295991,5.579475,2.41E-08,1.31E-05,ENSG00000135218,CD36
61,1553.41467,2.493908,0.387073,6.44299,1.17E-10,1.19E-07,ENSG00000143632,ACTA1
44,206.45946,2.732196,0.5180638,5.27386,1.34E-07,6.18E-05,ENSG00000124253,PCK1
33,1689.70705,2.852983,0.3347772,8.522035,1.57E-17,3.63E-14,ENSG00000113296,THBS4
9,296.77116,2.885386,0.4838444,5.963458,2.47E-09,1.90E-06,ENSG00000068976,PYGM
47,84.86237,2.953775,0.7370812,4.007395,6.14E-05,1.27E-02,ENSG00000124701,APOBEC2
75,521.70875,3.014946,0.4175717,7.220188,5.19E-13,7.64E-10,ENSG00000167080,B4GALNT2
84,185.22553,3.053726,0.6468121,4.721194,2.34E-06,8.58E-04,ENSG00000183091,NEB
96,83.29889,3.135022,0.7399871,4.23659,2.27E-05,5.93E-03,ENSG00000198848,CES1
4,213.87741,3.157989,0.5967344,5.292118,1.21E-07,5.76E-05,ENSG00000018625,ATP1A2
2,227.47539,3.232732,0.5325142,6.070696,1.27E-09,1.03E-06,ENSG00000009709,PAX7
45,53.73684,3.308656,0.8962953,3.69148,2.23E-04,3.68E-02,ENSG00000124557,BTN1A1
79,934.65371,3.374987,0.3637757,9.277658,1.73E-20,7.01E-17,ENSG00000175084,DES
11,161.97138,3.394148,0.6023618,5.634734,1.75E-08,1.05E-05,ENSG00000077522,ACTN2
91,1520.89065,3.427684,0.3718961,9.216778,3.06E-20,9.92E-17,ENSG00000196296,ATP2A1
27,63.42284,3.636462,0.8535422,4.260436,2.04E-05,5.60E-03,ENSG00000105664,COMP
34,43.92968,3.948383,1.020276,3.869916,1.09E-04,2.07E-02,ENSG00000114854,TNNC1
60,92.5623,4.293326,0.7693171,5.580698,2.40E-08,1.31E-05,ENSG00000143318,CASQ1
87,45.13157,4.449809,1.0300233,4.320105,1.56E-05,4.51E-03,ENSG00000186439,TRDN
12,45.07051,4.66711,1.0468108,4.458408,8.26E-06,2.73E-03,ENSG00000081248,CACNA1S
50,298.99157,4.742215,0.4941276,9.597146,8.22E-22,4.44E-18,ENSG00000130598,TNNI2
53,45.84594,4.768819,1.0999713,4.335403,1.45E-05,4.28E-03,ENSG00000133020,MYH8
22,312.6575,4.89973,0.6153863,7.962039,1.69E-15,3.43E-12,ENSG00000101470,TNNC2
14,34.57903,5.142353,1.2288189,4.184793,2.85E-05,7.22E-03,ENSG00000086967,MYBPC2
64,253.7311,5.272018,0.5769974,9.136987,6.42E-20,1.73E-16,ENSG00000160808,MYL3
1,43.20465,5.317164,1.2070888,4.404948,1.06E-05,3.23E-03,ENSG00000006788,MYH13
89,90.64407,5.44082,0.829994,6.555253,5.55E-11,6.00E-08,ENSG00000196091,MYBPC1
94,112.05545,5.567478,0.826842,6.733425,1.66E-11,2.06E-08,ENSG00000197616,MYH6
26,574.40061,5.687593,0.5534304,10.27698,8.95E-25,1.45E-20,ENSG00000104879,CKM
19,90.7594,6.929542,1.0133463,6.838276,8.02E-12,1.08E-08,ENSG00000100362,PVALB